"sex","score","books","place_of_birth","good_at_maths"
"Female",41,"11-25","Not in UK","Disagree"
"Female",64,"26-100","In UK","Disagree"
"Male",22,"101-200","In UK","Agree"
"Male",15,"0-10","In UK","Agree"
"Female",52,"101-200","In UK","Agree"
"Male",21,"26-100","Not in UK","Agree"
"Male",54,"11-25","In UK","Agree"
"Male",42,"0-10","In UK","Disagree"
"Female",64,"26-100","In UK","Agree"
"Male",64,"11-25","In UK","Disagree"
"Male",70,"26-100","In UK","Agree"
"Male",56,"11-25","In UK","Disagree"
"Male",34,"11-25","In UK","Agree"
"Female",48,"0-10","In UK","Disagree"
"Male",64,"11-25","In UK","Agree"
"Female",26,"26-100","In UK","Disagree"
"Male",63,"11-25","In UK","Disagree"
"Female",37,"11-25","Not in UK","Agree"
"Female",71,"More than 200","In UK","Agree"
"Female",50,"0-10","In UK","Disagree"
"Female",88,"26-100","In UK","Agree"
"Female",48,"101-200","In UK","Agree"
"Female",83,"26-100","Not in UK","Agree"
"Male",44,"26-100","Not in UK","Disagree"
"Male",79,"0-10","In UK","Agree"
"Female",20,"0-10","In UK","Agree"
"Female",36,"More than 200","In UK","Disagree"
"Female",52,"101-200","In UK","Disagree"
"Male",70,"26-100","In UK","Disagree"
"Male",37,"11-25","In UK","Agree"
"Female",12,"11-25","In UK","Agree"
"Female",17,"26-100","In UK","Agree"
"Male",65,"26-100","In UK","Agree"
"Female",61,"26-100","In UK","Disagree"
"Female",52,"101-200","In UK","Disagree"
"Male",74,"26-100","In UK","Agree"
"Male",30,"26-100","In UK","Disagree"
"Male",76,"26-100","In UK","Disagree"
"Male",69,"26-100","Not in UK","Agree"
"Female",52,"11-25","Not in UK","Disagree"
"Female",32,"26-100","In UK","Agree"
"Male",43,"0-10","In UK","Disagree"
"Male",52,"26-100","In UK","Disagree"
"Male",52,"101-200","In UK","Agree"
"Female",100,"101-200","In UK","Agree"
"Female",29,"11-25","In UK","Disagree"
"Female",65,"More than 200","In UK","Agree"
"Female",57,"101-200","In UK","Disagree"
"Female",20,"11-25","In UK","Agree"
"Male",13,"26-100","In UK","Disagree"
"Female",87,"101-200","In UK","Agree"
"Male",24,"11-25","In UK","Disagree"
"Female",24,"11-25","In UK","Disagree"
"Male",72,"11-25","In UK","Agree"
"Male",40,"11-25","In UK","Disagree"
"Female",74,"101-200","In UK","Agree"
"Female",44,"26-100","Not in UK","Disagree"
"Male",11,"0-10","In UK","Agree"
"Female",58,"101-200","In UK","Disagree"
"Male",62,"11-25","Not in UK","Disagree"
"Female",57,"26-100","In UK","Agree"
"Male",76,"26-100","In UK","Agree"
"Male",43,"11-25","In UK","Agree"
"Male",35,"11-25","In UK","Agree"
"Female",40,"0-10","In UK","Disagree"
"Female",86,"More than 200","In UK","Agree"
"Female",41,"More than 200","In UK","Agree"
"Male",24,"11-25","In UK","Agree"
"Male",30,"26-100","Not in UK","Agree"
"Female",70,"26-100","In UK","Disagree"
"Female",19,"26-100","In UK","Agree"
"Female",75,"26-100","In UK","Agree"
"Female",62,"0-10","In UK","Agree"
"Female",38,"101-200","In UK","Disagree"
"Male",64,"More than 200","Not in UK","Agree"
"Male",76,"26-100","In UK","Agree"
"Female",30,"11-25","Not in UK","Disagree"
"Female",70,"101-200","In UK","Disagree"
"Female",84,"26-100","In UK","Agree"
"Female",24,"101-200","In UK","Agree"
"Female",48,"11-25","In UK","Agree"
"Male",35,"11-25","In UK","Disagree"
"Female",52,"11-25","In UK","Agree"
"Male",48,"11-25","In UK","Disagree"
"Male",42,"0-10","In UK","Agree"
"Female",69,"26-100","In UK","Agree"
"Female",61,"11-25","In UK","Agree"
"Male",60,"11-25","In UK","Agree"
"Female",9,"0-10","In UK","Agree"
"Female",57,"0-10","In UK","Disagree"
"Female",80,"More than 200","In UK","Agree"
"Female",41,"101-200","In UK","Agree"
"Female",34,"11-25","In UK","Agree"
"Female",32,"101-200","In UK","Disagree"
"Female",30,"11-25","In UK","Agree"
"Male",41,"11-25","In UK","Agree"
"Female",74,"101-200","In UK","Agree"
"Female",33,"101-200","Not in UK","Agree"
"Female",25,"11-25","In UK","Disagree"
"Male",77,"26-100","In UK","Disagree"
"Male",76,"0-10","In UK","Agree"
"Male",30,"26-100","In UK","Disagree"
"Male",84,"26-100","In UK","Agree"
"Male",45,"0-10","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Female",48,"0-10","In UK","Agree"
"Female",39,"0-10","In UK","Disagree"
"Male",41,"11-25","In UK","Agree"
"Male",15,"0-10","In UK","Agree"
"Female",46,"26-100","In UK","Agree"
"Female",21,"11-25","In UK","Disagree"
"Female",69,"More than 200","In UK","Agree"
"Female",43,"11-25","In UK","Disagree"
"Female",52,"101-200","In UK","Disagree"
"Female",48,"0-10","In UK","Disagree"
"Female",39,"11-25","In UK","Disagree"
"Male",44,"0-10","In UK","Agree"
"Male",48,"0-10","In UK","Disagree"
"Female",48,"26-100","In UK","Disagree"
"Male",36,"11-25","In UK","Agree"
"Male",35,"0-10","In UK","Disagree"
"Male",30,"0-10","Not in UK","Disagree"
"Female",41,"26-100","In UK","Disagree"
"Male",33,"26-100","In UK","Agree"
"Male",93,"26-100","In UK","Agree"
"Female",15,"11-25","In UK","Disagree"
"Male",12,"26-100","In UK","Agree"
"Male",42,"26-100","In UK","Agree"
"Female",65,"101-200","In UK","Agree"
"Male",79,"0-10","Not in UK","Disagree"
"Male",88,"101-200","In UK","Agree"
"Male",48,"More than 200","In UK","Agree"
"Female",35,"26-100","Not in UK","Disagree"
"Male",7,"0-10","In UK","Disagree"
"Female",8,"0-10","In UK","Agree"
"Male",17,"26-100","In UK","Disagree"
"Female",37,"11-25","In UK","Agree"
"Male",89,"26-100","In UK","Agree"
"Male",21,"0-10","In UK","Disagree"
"Female",85,"26-100","In UK","Agree"
"Male",75,"0-10","In UK","Disagree"
"Female",76,"101-200","In UK","Disagree"
"Male",17,"26-100","In UK","Disagree"
"Male",78,"101-200","In UK","Agree"
"Female",33,"11-25","In UK","Disagree"
"Female",33,"11-25","Not in UK","Disagree"
"Male",96,"101-200","In UK","Agree"
"Female",69,"26-100","In UK","Disagree"
"Female",86,"More than 200","In UK","Agree"
"Male",52,"101-200","In UK","Agree"
"Female",70,"11-25","In UK","Agree"
"Male",39,"26-100","In UK","Agree"
"Female",68,"26-100","In UK","Disagree"
"Female",34,"26-100","In UK","Agree"
"Female",31,"0-10","In UK","Disagree"
"Male",16,"11-25","In UK","Agree"
"Male",52,"11-25","In UK","Agree"
"Female",41,"101-200","In UK","Disagree"
"Male",15,"0-10","In UK","Agree"
"Female",71,"26-100","In UK","Agree"
"Male",38,"11-25","In UK","Disagree"
"Male",62,"26-100","In UK","Agree"
"Male",43,"0-10","In UK","Disagree"
"Female",60,"26-100","In UK","Disagree"
"Male",39,"11-25","In UK","Agree"
"Female",39,"More than 200","In UK","Agree"
"Male",72,"More than 200","In UK","Agree"
"Male",55,"26-100","In UK","Agree"
"Male",55,"26-100","In UK","Agree"
"Male",91,"101-200","In UK","Agree"
"Male",96,"26-100","In UK","Agree"
"Female",70,"101-200","In UK","Disagree"
"Female",83,"26-100","In UK","Disagree"
"Female",79,"101-200","In UK","Agree"
"Male",58,"More than 200","In UK","Agree"
"Female",64,"More than 200","In UK","Agree"
"Female",84,"26-100","In UK","Disagree"
"Male",48,"26-100","In UK","Agree"
"Female",39,"26-100","Not in UK","Agree"
"Male",40,"11-25","In UK","Agree"
"Female",90,"26-100","In UK","Agree"
"Female",86,"26-100","In UK","Agree"
"Male",44,"26-100","In UK","Agree"
"Female",83,"26-100","In UK","Agree"
"Female",67,"26-100","In UK","Agree"
"Female",74,"More than 200","In UK","Agree"
"Female",88,"More than 200","In UK","Agree"
"Female",77,"26-100","In UK","Agree"
"Male",57,"26-100","In UK","Agree"
"Female",84,"More than 200","In UK","Agree"
"Male",26,"11-25","In UK","Disagree"
"Male",88,"26-100","Not in UK","Agree"
"Female",59,"More than 200","In UK","Agree"
"Male",84,"26-100","In UK","Disagree"
"Male",83,"26-100","In UK","Agree"
"Male",100,"11-25","In UK","Agree"
"Female",93,"26-100","In UK","Agree"
"Male",75,"101-200","In UK","Agree"
"Male",46,"11-25","In UK","Agree"
"Male",73,"11-25","In UK","Agree"
"Female",71,"11-25","In UK","Agree"
"Male",92,"101-200","In UK","Disagree"
"Male",87,"26-100","In UK","Agree"
"Male",96,"11-25","In UK","Agree"
"Male",92,"26-100","In UK","Agree"
"Male",90,"26-100","In UK","Agree"
"Female",72,"26-100","In UK","Agree"
"Male",64,"26-100","In UK","Disagree"
"Male",74,"11-25","Not in UK","Agree"
"Male",85,"11-25","In UK","Agree"
"Male",93,"11-25","Not in UK","Agree"
"Female",58,"26-100","In UK","Agree"
"Male",62,"101-200","Not in UK","Agree"
"Male",86,"26-100","In UK","Agree"
"Male",88,"101-200","In UK","Agree"
"Female",91,"26-100","In UK","Agree"
"Male",65,"26-100","In UK","Agree"
"Male",92,"26-100","Not in UK","Agree"
"Male",72,"26-100","In UK","Agree"
"Female",72,"26-100","In UK","Agree"
"Female",84,"26-100","In UK","Agree"
"Male",35,"101-200","In UK","Agree"
"Female",52,"26-100","Not in UK","Agree"
"Female",52,"11-25","In UK","Disagree"
"Female",38,"101-200","In UK","Disagree"
"Male",67,"More than 200","Not in UK","Agree"
"Female",73,"11-25","Not in UK","Agree"
"Male",82,"11-25","In UK","Disagree"
"Male",76,"26-100","Not in UK","Agree"
"Male",65,"26-100","In UK","Agree"
"Male",57,"26-100","In UK","Disagree"
"Male",24,"26-100","In UK","Agree"
"Female",62,"26-100","In UK","Agree"
"Male",55,"26-100","In UK","Disagree"
"Female",60,"101-200","In UK","Disagree"
"Female",30,"26-100","Not in UK","Disagree"
"Female",52,"26-100","In UK","Disagree"
"Female",37,"More than 200","Not in UK","Agree"
"Male",42,"0-10","In UK","Agree"
"Female",71,"26-100","In UK","Agree"
"Male",62,"26-100","In UK","Disagree"
"Female",68,"11-25","Not in UK","Disagree"
"Female",48,"11-25","In UK","Disagree"
"Male",17,"0-10","Not in UK","Disagree"
"Male",48,"26-100","In UK","Agree"
"Male",45,"11-25","Not in UK","Agree"
"Female",55,"11-25","In UK","Agree"
"Female",52,"101-200","In UK","Disagree"
"Female",65,"26-100","In UK","Disagree"
"Female",41,"11-25","In UK","Disagree"
"Female",46,"11-25","In UK","Disagree"
"Female",68,"11-25","In UK","Agree"
"Male",76,"26-100","In UK","Disagree"
"Female",70,"More than 200","In UK","Disagree"
"Female",48,"26-100","In UK","Disagree"
"Female",60,"26-100","In UK","Agree"
